folio_ageb,entidad,alcaldia,localidad,pob,tot_pobres,IDSM,E_IDS_V
9.00903E+11,9,9,257,78,77,0.6939878,Muy bajo
9.009E+11,9,9,45,57,54,0.6943197,Muy bajo
9.00902E+11,9,9,213,66,65,0.6943765,Muy bajo
9.00904E+11,9,9,414,11,8,0.694671,Muy bajo
9.00902E+11,9,9,227,46,45,0.694818,Muy bajo
9.00901E+11,9,9,96,18,18,0.6951273,Muy bajo
9.007E+11,9,7,1,6004,5610,0.6952646,Muy bajo
9.01102E+11,9,11,153,23,21,0.6952872,Muy bajo
9.00901E+11,9,9,54,72,69,0.6958963,Muy bajo
9.00902E+11,9,9,217,413,400,0.6960019,Muy bajo
9.00902E+11,9,9,173,65,64,0.6967064,Muy bajo
9.00904E+11,9,9,367,32,29,0.6968116,Muy bajo
9.01303E+11,9,13,281,25,22,0.6970052,Muy bajo
9.01302E+11,9,13,187,162,150,0.6973033,Muy bajo
9.00904E+11,9,9,360,98,93,0.697355,Muy bajo
9.01203E+11,9,12,276,524,478,0.6973784,Muy bajo
9.007E+11,9,7,1,5486,5094,0.6981977,Muy bajo
9.01201E+11,9,12,135,4017,3778,0.6983564,Muy bajo
9.00901E+11,9,9,117,143,143,0.6987635,Muy bajo
9.00901E+11,9,9,90,110,103,0.6990163,Muy bajo
9.01201E+11,9,12,112,161,154,0.6992737,Muy bajo
9.00902E+11,9,9,237,5,5,0.6992991,Muy bajo
9.00901E+11,9,9,138,264,238,0.699489,Muy bajo
9.00902E+11,9,9,156,32,29,0.6994891,Muy bajo
9.01203E+11,9,12,311,15,15,0.699616,Muy bajo
9.01002E+11,9,10,216,47,39,0.6998458,Muy bajo
9.00901E+11,9,9,104,138,137,0.700048,Muy bajo
9.01204E+11,9,12,362,1,1,0.7001121,Muy bajo
9.00903E+11,9,9,326,17,15,0.7002531,Muy bajo
9.00902E+11,9,9,210,187,177,0.7006407,Muy bajo
9.013E+11,9,13,1,2318,2097,0.7008965,Muy bajo
9.00902E+11,9,9,151,50,49,0.7011154,Muy bajo
9.01101E+11,9,11,113,238,223,0.7014205,Muy bajo
9.00901E+11,9,9,113,69,63,0.7016249,Muy bajo
9.007E+11,9,7,1,5508,4983,0.701744,Muy bajo
090120001173A,9,12,1,1686,1583,0.701921,Muy bajo
9.013E+11,9,13,1,872,795,0.702188,Muy bajo
9.011E+11,9,11,21,75,68,0.7031493,Muy bajo
9.01302E+11,9,13,244,62,52,0.7032168,Muy bajo
9.009E+11,9,9,17,162,148,0.7033374,Muy bajo
9.00903E+11,9,9,314,182,163,0.7034737,Muy bajo
9.00901E+11,9,9,116,249,231,0.7034874,Muy bajo
9.01203E+11,9,12,328,376,362,0.7035646,Muy bajo
9.007E+11,9,7,1,7638,7031,0.703596,Muy bajo
9.00902E+11,9,9,168,1058,1002,0.7039071,Muy bajo
9.01203E+11,9,12,327,2,2,0.7041097,Muy bajo
9.01303E+11,9,13,253,71,65,0.7042243,Muy bajo
9.01303E+11,9,13,258,168,160,0.704248,Muy bajo
9.01204E+11,9,12,373,43,40,0.7043275,Muy bajo
9.01303E+11,9,13,274,12,12,0.7043816,Muy bajo
9.005E+11,9,5,1,3522,3247,0.7046086,Muy bajo
9.01204E+11,9,12,383,89,82,0.7046536,Muy bajo
9.01204E+11,9,12,350,108,106,0.7050534,Muy bajo
9.00903E+11,9,9,268,161,141,0.7050825,Muy bajo
9.00901E+11,9,9,66,16,16,0.7051957,Muy bajo
9.01203E+11,9,12,302,96,89,0.7053102,Muy bajo
9.011E+11,9,11,1,1782,1664,0.7054806,Muy bajo
9.01204E+11,9,12,430,10,9,0.7058048,Muy bajo
9.01202E+11,9,12,155,9,9,0.7058618,Muy bajo
9.007E+11,9,7,1,3854,3508,0.7065532,Muy bajo
9.006E+11,9,6,1,20,18,0.7067529,Muy bajo
9.00901E+11,9,9,83,25,24,0.7068077,Muy bajo
9.008E+11,9,8,1,1891,1757,0.7070291,Muy bajo
9.00902E+11,9,9,154,134,123,0.7076055,Muy bajo
090130001146A,9,13,1,2679,2424,0.7077518,Muy bajo
